Type,TurnID,Category,Timestamp,Message
Log,0,EnemyUnit,17030171.220393,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220403,[PostInitializeComponents] ✅ ASC initialization callbacks registered
Log,0,EnemyThinker,17030171.220413,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17030171.220423,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17030171.220923,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17030171.220932,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17030171.220942,[UnitManager] Registered enemy BP_EnemyUnitBase_C_0 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17030171.220952,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 1/5: BP_EnemyUnitBase_C_0
Log,0,Temp,17030171.220964,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=6150.000 Y=2850.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17030171.221017,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17030171.221635,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17030171.223389,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17030171.223499,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.223542,[PossessedBy] ========== START: BP_EnemyUnitBase_C_1 ==========
Display,0,EnemyUnit,17030171.223555,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17030171.223566,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17030171.223579,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.223592,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17030171.223608,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17030171.223621,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.223633,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.223645,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_1
